Year-Month,Rainfall (mm),Flood Risk
2009-09,0.0,Safe
2010-07,0.0,Safe
2010-08,0.0,Safe
2010-09,0.0,Safe
2010-10,0.0,Safe
2019-01,0.0,Safe
2019-02,0.0,Safe
2019-03,0.0,Safe
2019-04,0.0,Safe
2019-05,0.0,Safe
2019-06,2913.5,DANGER
2019-07,3802.0,DANGER
2019-08,615.0,DANGER
2019-09,182.0,Safe
2019-10,0.0,Safe
2019-11,0.0,Safe
2019-12,403.5,DANGER
2020-01,109.0,Safe
2020-02,906.5,DANGER
2020-03,59.0,Safe
2020-04,908.0,DANGER
2020-05,1729.0,DANGER
2020-06,3288.5,DANGER
2020-07,6371.0,DANGER
2020-08,1691.9999996423721,DANGER
2020-09,2667.2999992370605,DANGER
2020-10,0.0,Safe
2020-11,0.0,Safe
2020-12,0.5,Safe
2021-01,12.0,Safe
2021-02,11.0,Safe
2021-03,172.70000004768372,Safe
2021-04,139.39999961853027,Safe
2021-05,2609.5,DANGER
2021-06,2533.699999809265,DANGER
2021-07,4004.1500010490417,DANGER
2021-08,1713.2499985694885,DANGER
2021-09,49.5,Safe
2021-10,97.04999923706055,Safe
2021-11,0.0,Safe
2021-12,2.25,Safe
2022-01,8.25,Safe
2022-02,4.5,Safe
2022-03,0.0,Safe
2022-04,32.60000038146973,Safe
2022-05,20407.320000886917,DANGER
2022-06,38989.599994659424,DANGER
2022-07,27836.899998664856,DANGER
2022-08,4300.300002574921,DANGER
2022-09,41300.700000047684,DANGER
2022-10,70992.4000005722,DANGER
2022-11,65988.5,DANGER
2022-12,76422.0,DANGER
2023-01,27235.5,DANGER
2023-02,0.0,Safe
2023-03,1459.0,DANGER
2023-04,1626.0,DANGER
2023-05,357.3999996185303,DANGER
2023-06,214.50000143051147,WARNING
2023-07,2161.9000000953674,DANGER
2023-08,2914.3999993801117,DANGER
2023-09,1290.3499999046326,DANGER
2023-10,4496.099999427795,DANGER
2023-11,0.0,Safe
2023-12,0.0,Safe
2024-01,154.0,Safe
2024-02,0.0,Safe
2024-03,27.0,Safe
2024-04,677.5,DANGER
2024-05,11865.100000858307,DANGER
2024-06,19131.199998378754,DANGER
2024-07,29310.199999809265,DANGER
2024-08,17146.60000038147,DANGER
2024-09,2107.400001525879,DANGER
2024-10,30900.0,DANGER
2024-11,0.0,Safe
2024-12,2170.5,DANGER
2025-01,73847.5,DANGER
