Year-Month,Rainfall (mm),Flood Risk
1981-06,122.99999833106995,Safe
1981-07,416.40000373125076,DANGER
1981-08,344.4999965801835,DANGER
1981-09,222.4999966621399,WARNING
1981-10,0.0,Safe
1982-06,112.09999915957451,Safe
1982-07,149.7000000178814,Safe
1982-08,90.49999940395355,Safe
1982-09,256.00000220537186,WARNING
1982-10,0.0,Safe
1983-06,118.80000019073486,Safe
1983-07,490.70000436902046,DANGER
1983-08,262.5000010728836,WARNING
1983-09,134.19999879598618,Safe
1983-10,75.80000001192093,Safe
1984-06,245.19999964535236,WARNING
1984-07,471.69999826699495,DANGER
1984-08,110.6000013127923,Safe
1984-09,229.49999845027924,WARNING
1984-10,1.399999976158142,Safe
1985-06,135.9999983906746,Safe
1985-07,436.4999958127737,DANGER
1985-08,155.29999954998493,Safe
1985-09,259.1000018045306,WARNING
1985-10,184.99999809265137,Safe
1986-06,101.79999928921461,Safe
1986-07,379.39999973773956,DANGER
1986-08,376.399999409914,DANGER
1986-09,266.29999916255474,WARNING
1986-10,74.50000011920929,Safe
1987-06,113.3000014424324,Safe
1987-07,553.099999576807,DANGER
1987-08,573.1999996304512,DANGER
1987-09,515.0000051558018,DANGER
1987-10,2.600000023841858,Safe
1988-06,221.99999852478504,WARNING
1988-07,0.699999988079071,Safe
1988-08,520.0000040084124,DANGER
1988-09,180.49999733269215,Safe
1988-10,39.70000171661377,Safe
1989-06,139.10000163316727,Safe
1989-07,428.5000002384186,DANGER
1989-08,168.99999925494194,Safe
1989-09,446.1999981403351,DANGER
1989-10,66.4999990016222,Safe
1990-06,111.60000085830688,Safe
1990-07,657.200004324317,DANGER
1990-08,256.39999958872795,WARNING
1990-09,292.7000002413988,WARNING
1990-10,49.40000081062317,Safe
1991-06,115.30000174045563,Safe
1991-07,265.50000230968,WARNING
1991-08,368.6999982595444,DANGER
1991-09,196.50000035762787,Safe
1991-10,2.5999999046325684,Safe
1992-06,87.39999985694885,Safe
1992-07,188.8999978452921,Safe
1992-08,349.39999589324,DANGER
1992-09,63.700000524520874,Safe
1992-10,150.10000228881836,Safe
1993-06,73.30000042915344,Safe
1993-07,245.60000382363796,WARNING
1993-08,430.20000275969505,DANGER
1993-09,528.4999948143959,DANGER
1993-10,15.899999618530273,Safe
1994-06,119.80000229179859,Safe
1994-07,133.0999993979931,Safe
1994-08,527.0000013709068,DANGER
1994-09,286.0999953299761,WARNING
1994-10,4.800000101327896,Safe
1995-06,66.60000103712082,Safe
1995-07,260.49999917298555,WARNING
1995-08,523.699996188283,DANGER
1995-09,265.3999978899956,WARNING
1995-10,0.0,Safe
1996-06,101.79999978840351,Safe
1996-07,199.40000211447477,Safe
1996-08,350.4000014513731,DANGER
1996-09,129.2000017464161,Safe
1996-10,151.20000076293945,Safe
1997-06,283.4000065922737,WARNING
1997-07,322.6000007390976,DANGER
1997-08,321.1000019311905,DANGER
1997-09,169.00000268220901,Safe
1997-10,1.7000000476837158,Safe
1998-06,44.4999994635582,Safe
1998-07,531.9999964237213,DANGER
1998-08,323.50000048428774,DANGER
1998-09,166.89999771118164,Safe
1998-10,96.50000160932541,Safe
1999-06,270.7999957203865,WARNING
1999-07,384.79999989271164,DANGER
1999-08,436.7999955266714,DANGER
1999-09,287.2000038921833,WARNING
1999-10,169.7000018954277,Safe
2000-06,191.5999999642372,Safe
2000-07,218.29999636858702,WARNING
2000-08,185.8999993801117,Safe
2000-09,17.0,Safe
2001-06,73.69999892264605,Safe
2001-07,180.69999973475933,Safe
2001-08,211.60000502318144,WARNING
2001-09,273.20000459998846,WARNING
2001-10,323.2000036239624,DANGER
2002-06,65.50000029802322,Safe
2002-07,381.3000024855137,DANGER
2002-08,135.80000096559525,Safe
2002-09,154.9000023007393,Safe
2002-10,21.5,Safe
2003-06,70.39999985694885,Safe
2003-07,340.7000049352646,DANGER
2003-08,264.9999985694885,WARNING
2003-09,175.99999737739563,Safe
2003-10,97.00000023841858,Safe
2004-06,313.99999928474426,DANGER
2004-07,702.7999987602234,DANGER
2004-08,113.0000011920929,Safe
2004-09,113.19999718666077,Safe
2004-10,63.40000128746033,Safe
2005-06,41.60000002384186,Safe
2005-07,365.3999933004379,DANGER
