Year-Month,Rainfall (mm),Flood Risk
2021-06,30.5,Safe
2021-07,67.0,Safe
2021-08,60.0,Safe
2021-09,15.5,Safe
2021-10,10.0,Safe
2021-11,0.0,Safe
2021-12,0.0,Safe
2022-01,0.0,Safe
2022-02,0.0,Safe
2022-03,0.0,Safe
2022-04,1.5,Safe
2022-05,4.0,Safe
2022-06,18.5,Safe
2022-07,14.5,Safe
2022-08,26.0,Safe
2022-09,61.0,Safe
2022-10,6.5,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,0.0,Safe
2023-02,0.0,Safe
2023-03,6.0,Safe
2023-04,0.0,Safe
2023-05,0.0,Safe
2023-06,2.0,Safe
2023-07,1.0,Safe
2023-08,1.0,Safe
2023-09,0.5,Safe
2023-10,0.5,Safe
2023-11,0.0,Safe
2023-12,0.0,Safe
2024-01,0.0,Safe
2024-02,0.0,Safe
2024-03,0.0,Safe
2024-04,0.0,Safe
2024-05,0.0,Safe
2024-06,1.5,Safe
2024-07,0.5,Safe
2024-08,1.5,Safe
2024-09,9.5,Safe
2024-10,0.0,Safe
