Year-Month,Rainfall (mm),Flood Risk,Sub_District
2021-01,0.0,Safe,Kadirganj
2021-02,518.0,DANGER,Kadirganj
2021-03,0.0,Safe,Kadirganj
2021-04,0.0,Safe,Kadirganj
2021-05,0.0,Safe,Kadirganj
2021-06,0.0,Safe,Kadirganj
2021-07,0.0,Safe,Kadirganj
2021-08,21.3,Safe,Kadirganj
2021-09,185.2,Safe,Kadirganj
2021-10,67.1,Safe,Kadirganj
2021-11,0.0,Safe,Kadirganj
2021-12,15.0,Safe,Kadirganj
2022-01,8.6,Safe,Kadirganj
2022-02,20.4,Safe,Kadirganj
2022-03,0.0,Safe,Kadirganj
2022-04,0.0,Safe,Kadirganj
2022-05,21162.8,DANGER,Kadirganj
2022-06,37467.0,DANGER,Kadirganj
2022-07,85465.7,DANGER,Kadirganj
2022-08,89477.5,DANGER,Kadirganj
2022-09,75088.7,DANGER,Kadirganj
2022-10,71896.7,DANGER,Kadirganj
2022-11,66530.5,DANGER,Kadirganj
2022-12,52440.3,DANGER,Kadirganj
2023-01,0.0,Safe,Kadirganj
2023-02,0.0,Safe,Kadirganj
2023-03,275.0,WARNING,Kadirganj
2023-04,706.1,DANGER,Kadirganj
2023-05,14.1,Safe,Kadirganj
2023-06,97.8,Safe,Kadirganj
2023-07,346.2,DANGER,Kadirganj
2023-08,164.6,Safe,Kadirganj
2023-09,379.5,DANGER,Kadirganj
2023-10,13070.0,DANGER,Kadirganj
2023-11,30216.5,DANGER,Kadirganj
2023-12,40660.2,DANGER,Kadirganj
2024-01,36178.5,DANGER,Kadirganj
2024-02,31222.8,DANGER,Kadirganj
2024-03,53695.2,DANGER,Kadirganj
2024-04,14635.2,DANGER,Kadirganj
2024-05,13598.6,DANGER,Kadirganj
2024-06,19297.7,DANGER,Kadirganj
2024-07,42581.1,DANGER,Kadirganj
2024-08,18488.1,DANGER,Kadirganj
2024-09,149.6,Safe,Kadirganj
2024-10,3545.0,DANGER,Kadirganj
2024-11,0.0,Safe,Kadirganj
2024-12,0.0,Safe,Kadirganj
2025-01,0.0,Safe,Kadirganj
2019-06,329.0,DANGER,Hisua
2019-07,2586.5,DANGER,Hisua
2019-08,1159.5,DANGER,Hisua
2019-09,5181.0,DANGER,Hisua
2019-10,8504.5,DANGER,Hisua
2019-11,8.5,Safe,Hisua
2019-12,139.5,Safe,Hisua
2020-01,18.5,Safe,Hisua
2020-02,204.0,WARNING,Hisua
2020-03,273.5,WARNING,Hisua
2020-04,832.0,DANGER,Hisua
2020-05,90.5,Safe,Hisua
2020-06,2059.0,DANGER,Hisua
2020-07,5588.5,DANGER,Hisua
2020-08,3563.0,DANGER,Hisua
2020-09,4684.5,DANGER,Hisua
2020-10,512.5,DANGER,Hisua
2020-11,2.0,Safe,Hisua
2020-12,0.0,Safe,Hisua
2021-01,0.0,Safe,Hisua
2021-02,0.0,Safe,Hisua
2021-03,0.0,Safe,Hisua
2021-04,3.0,Safe,Hisua
2021-05,1875.5,DANGER,Hisua
2021-06,5266.0,DANGER,Hisua
2021-07,1732.5,DANGER,Hisua
2021-08,587.4,DANGER,Hisua
2021-09,69.2,Safe,Hisua
2021-10,31.5,Safe,Hisua
2021-11,0.0,Safe,Hisua
2021-12,2.1,Safe,Hisua
2022-01,6.2,Safe,Hisua
2022-02,7.4,Safe,Hisua
2022-03,0.0,Safe,Hisua
2022-04,0.0,Safe,Hisua
2022-05,20686.3,DANGER,Hisua
2022-06,42270.6,DANGER,Hisua
2022-07,83731.2,DANGER,Hisua
2022-08,91917.9,DANGER,Hisua
2022-09,79734.5,DANGER,Hisua
2022-10,73048.5,DANGER,Hisua
2022-11,65334.5,DANGER,Hisua
2022-12,75792.5,DANGER,Hisua
2023-01,27235.5,DANGER,Hisua
2023-02,0.0,Safe,Hisua
2023-03,1060.5,DANGER,Hisua
2023-04,996.5,DANGER,Hisua
2023-05,0.0,Safe,Hisua
2023-06,0.0,Safe,Hisua
2023-07,373.5,DANGER,Hisua
2023-08,2394.0,DANGER,Hisua
2023-09,1965.0,DANGER,Hisua
2023-10,16076.0,DANGER,Hisua
2023-11,9891.5,DANGER,Hisua
2023-12,406.5,DANGER,Hisua
2024-02,16.8,Safe,Hisua
2024-03,24.7,Safe,Hisua
2024-04,139.5,Safe,Hisua
2024-05,58.0,Safe,Hisua
2024-06,30.0,Safe,Hisua
2024-07,171.6,Safe,Hisua
2024-08,233.6,WARNING,Hisua
2024-09,142.7,Safe,Hisua
2024-10,14.2,Safe,Hisua
2024-11,0.0,Safe,Hisua
2024-12,0.0,Safe,Hisua
2025-01,0.0,Safe,Hisua
