Year-Month,Rainfall (mm),Flood Risk
2022-02,7.5,Safe
2022-03,0.0,Safe
2022-04,0.8,Safe
2022-05,73.0,Safe
2022-06,159.4,Safe
2022-07,73.6,Safe
2022-08,247.2,WARNING
2022-09,132.6,Safe
2022-10,39.0,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,0.0,Safe
2023-02,0.0,Safe
2023-03,7.6,Safe
2023-04,0.0,Safe
2023-05,28.6,Safe
2023-06,22.0,Safe
2023-07,79.8,Safe
2023-08,574.4,DANGER
2023-09,64.2,Safe
2023-10,28.4,Safe
2023-11,0.0,Safe
2023-12,2.6,Safe
2024-01,0.0,Safe
2024-02,2.4,Safe
2024-03,33.0,Safe
2024-04,0.0,Safe
2024-05,97.4,Safe
2024-06,196.2,Safe
2024-07,363.8,DANGER
2024-08,140.08,Safe
2024-09,407.7,DANGER
2024-10,0.0,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
2009-09,0.0,Safe
2010-07,0.0,Safe
2010-08,0.0,Safe
2010-09,0.0,Safe
2010-10,0.0,Safe
2019-01,0.0,Safe
2019-02,0.0,Safe
2019-03,0.0,Safe
2019-04,0.0,Safe
2019-05,0.0,Safe
2019-06,0.0,Safe
2019-07,0.0,Safe
2019-08,0.0,Safe
2019-09,0.0,Safe
2019-10,0.0,Safe
2019-11,0.0,Safe
2019-12,0.0,Safe
2020-01,0.0,Safe
2020-02,0.0,Safe
2020-03,0.0,Safe
2020-06,101.4,Safe
2020-07,593.9,DANGER
2020-08,181.6,Safe
2020-09,236.3,WARNING
2020-10,0.0,Safe
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,0.0,Safe
2021-04,0.0,Safe
2021-05,267.35,WARNING
2021-06,244.2,WARNING
2021-07,195.0,Safe
2021-08,299.3,WARNING
2021-09,35.0,Safe
2021-10,77.0,Safe
2021-11,0.0,Safe
2021-12,0.0,Safe
2022-01,0.0,Safe
2022-02,0.4,Safe
2022-03,0.0,Safe
2022-04,40.7,Safe
2022-05,18.25,Safe
2022-06,83.0,Safe
2022-07,120.4,Safe
2022-08,51.4,Safe
2022-09,10.0,Safe
2022-10,18.0,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,0.0,Safe
2023-02,0.0,Safe
2023-03,2.0,Safe
2023-04,0.0,Safe
2023-05,12.0,Safe
2023-06,2.0,Safe
2023-07,23.0,Safe
2023-08,300.4,DANGER
2023-09,0.0,Safe
2023-10,5.0,Safe
2023-11,0.0,Safe
2023-12,0.0,Safe
2024-01,0.0,Safe
2024-02,0.0,Safe
2024-03,62.0,Safe
2024-04,0.0,Safe
2024-05,122.4,Safe
2024-06,215.4,WARNING
2024-07,142.1,Safe
2024-08,248.0,WARNING
2024-09,386.2,DANGER
2024-10,0.0,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
1969-12,135.5,Safe
1970-01,140.0,Safe
1981-06,0.0,Safe
1981-07,167.0,Safe
1981-08,261.4,WARNING
1981-09,38.0,Safe
1981-10,0.0,Safe
1982-06,4.4,Safe
1982-07,116.9,Safe
1982-08,91.6,Safe
1982-09,76.1,Safe
1982-10,0.0,Safe
1983-06,17.7,Safe
1983-07,287.2,WARNING
1983-08,108.6,Safe
1983-09,4.9,Safe
1983-10,0.0,Safe
1984-06,200.7,WARNING
1984-07,609.8,DANGER
1984-08,81.2,Safe
1984-09,264.0,WARNING
1984-10,0.0,Safe
1985-06,79.8,Safe
1985-07,548.1,DANGER
1985-08,239.9,WARNING
1985-09,458.8,DANGER
1985-10,147.0,Safe
1986-06,136.0,Safe
1986-07,199.7,Safe
1986-08,393.5,DANGER
1986-09,90.2,Safe
1986-10,27.7,Safe
1987-06,22.8,Safe
1987-07,212.8,WARNING
1987-08,556.2,DANGER
1987-09,166.8,Safe
1987-10,8.2,Safe
1988-06,15.3,Safe
1988-07,236.7,WARNING
1988-08,363.9,DANGER
1988-09,113.8,Safe
1988-10,25.2,Safe
1989-06,64.6,Safe
1989-07,402.6,DANGER
1989-08,78.80000000000001,Safe
1989-09,294.20000000000005,WARNING
1989-10,8.0,Safe
1990-06,32.599999999999994,Safe
1990-07,331.6,DANGER
1990-08,48.0,Safe
1990-09,56.8,Safe
1990-10,2.04,Safe
1991-06,53.2,Safe
1991-07,15.5,Safe
1991-08,381.8,DANGER
1991-09,77.6,Safe
1991-10,2.4,Safe
1992-06,69.5,Safe
1992-07,229.7,WARNING
1992-08,228.2,WARNING
1992-09,106.8,Safe
1992-10,177.4,Safe
1993-06,43.8,Safe
1993-07,184.9,Safe
1993-08,321.3,DANGER
1993-09,245.5,WARNING
1993-10,4.4,Safe
1994-06,41.6,Safe
1994-07,277.9,WARNING
1994-08,251.2,WARNING
1994-09,275.9,WARNING
1994-10,0.0,Safe
1995-06,179.5,Safe
1995-07,174.0,Safe
1995-08,419.4,DANGER
1995-09,138.0,Safe
1995-10,0.0,Safe
1996-06,0.0,Safe
1996-07,18.2,Safe
1996-08,345.6,DANGER
1996-09,205.6,WARNING
1996-10,124.0,Safe
1997-06,328.5,DANGER
1997-07,309.0,DANGER
1997-08,143.4,Safe
1997-09,200.1,WARNING
1997-10,2.5,Safe
1998-07,463.05,DANGER
1998-08,432.89,DANGER
1998-09,101.8,Safe
1998-10,143.8,Safe
1999-07,86.6,Safe
1999-08,322.4,DANGER
1999-09,66.6,Safe
1999-10,133.6,Safe
2000-01,0.0,Safe
2000-02,24.8,Safe
2000-03,10.6,Safe
2000-04,64.4,Safe
2000-05,177.1,Safe
2000-06,379.8,DANGER
2000-07,275.8,WARNING
2000-08,274.0,WARNING
2000-09,103.8,Safe
2000-10,63.2,Safe
2000-11,0.0,Safe
2000-12,0.0,Safe
2001-06,297.29999999999995,WARNING
2001-07,418.7,DANGER
2001-08,264.7,WARNING
2001-09,142.3,Safe
2002-06,70.89999999999999,Safe
2002-07,497.1,DANGER
2002-08,182.2,Safe
2002-09,292.6,WARNING
2002-10,0.2,Safe
2003-01,41.2,Safe
2003-02,22.6,Safe
2003-03,51.4,Safe
2003-04,31.0,Safe
2003-05,55.8,Safe
2003-06,291.0,WARNING
2003-07,398.0,DANGER
2003-08,203.4,WARNING
2003-09,178.8,Safe
2003-10,48.4,Safe
2003-11,0.0,Safe
2003-12,2.8,Safe
2004-01,20.2,Safe
2004-02,4.0,Safe
2004-03,0.0,Safe
2004-04,66.2,Safe
2004-05,97.0,Safe
2004-06,512.0,DANGER
2004-07,772.0,DANGER
2004-08,251.6,WARNING
2004-09,124.6,Safe
2004-10,31.9,Safe
2004-11,0.0,Safe
2004-12,0.0,Safe
2005-01,16.0,Safe
2005-02,12.0,Safe
2005-03,0.0,Safe
2005-04,0.0,Safe
2005-05,55.2,Safe
2005-06,171.9,Safe
2005-07,316.8,DANGER
2005-08,478.1,DANGER
2005-09,24.0,Safe
2005-10,48.8,Safe
2005-11,0.0,Safe
2005-12,0.0,Safe
2006-01,0.0,Safe
2006-02,0.0,Safe
2006-03,0.0,Safe
2006-04,62.0,Safe
2006-05,330.0,DANGER
2006-06,140.79999999999998,Safe
2006-07,239.6,WARNING
2006-08,139.8,Safe
2006-09,200.0,WARNING
2006-10,22.0,Safe
2006-11,0.0,Safe
2006-12,10.2,Safe
2007-01,0.0,Safe
2007-02,53.6,Safe
2007-03,62.4,Safe
2007-04,0.0,Safe
2007-05,74.5,Safe
2007-06,198.7,Safe
2007-07,520.0,DANGER
2007-08,915.1,DANGER
2007-09,492.2,DANGER
2007-10,85.4,Safe
2007-11,0.0,Safe
2007-12,0.0,Safe
2008-01,0.4,Safe
2008-02,0.0,Safe
2008-03,0.4,Safe
2008-04,0.0,Safe
2008-05,4.9,Safe
2008-06,360.7,DANGER
2008-07,498.0,DANGER
2008-08,315.6,DANGER
2008-09,145.4,Safe
2008-10,14.0,Safe
2008-11,0.0,Safe
2008-12,0.0,Safe
2009-01,0.0,Safe
2009-02,0.0,Safe
2009-03,0.0,Safe
2009-04,0.0,Safe
2009-05,219.2,WARNING
2009-06,118.8,Safe
2009-07,323.0,DANGER
2009-08,386.8,DANGER
2009-09,81.8,Safe
2009-10,39.8,Safe
2009-11,0.0,Safe
2009-12,0.0,Safe
2010-01,0.0,Safe
2010-02,10.2,Safe
2010-03,0.0,Safe
2010-04,6.9,Safe
2010-05,132.1,Safe
2010-06,52.5,Safe
2010-07,264.8,WARNING
2010-08,248.0,WARNING
2010-09,95.4,Safe
2010-10,34.0,Safe
2010-11,0.0,Safe
2010-12,0.0,Safe
2011-01,4.5,Safe
2011-02,11.0,Safe
2011-03,6.7,Safe
2011-04,0.0,Safe
2011-05,65.8,Safe
2011-06,162.7,Safe
2011-07,429.3,DANGER
2011-08,198.5,Safe
2011-09,366.0,DANGER
2011-10,0.0,Safe
2011-11,0.0,Safe
2011-12,0.0,Safe
2012-01,25.2,Safe
2012-02,2.0,Safe
2012-03,0.0,Safe
2012-04,13.2,Safe
2012-05,19.0,Safe
2012-06,109.8,Safe
2012-07,467.0,DANGER
2012-08,161.6,Safe
2012-09,300.8,DANGER
2012-10,0.0,Safe
2012-11,0.0,Safe
2012-12,0.0,Safe
2013-01,25.2,Safe
2013-02,33.4,Safe
2013-03,0.0,Safe
